entry_index,exit_index,side,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,net_pnl,return_pct,bars_held,exit_reason,entry_confidence,market_regime
1137,1142,LONG,2025-04-27 21:00:00,2025-04-27 21:25:00,94230.3423,94281.829862,0.128785209321245,6.630836449609909,-3.080195370984388,0.0005464010927188873,5,TAKE_PROFIT,0.8025799248574051,RANGING
1145,1146,SHORT,2025-04-27 21:40:00,2025-04-27 21:45:00,94404.51531999999,94394.47512,0.13510086763402968,1.356439731217637,-8.846323235531512,0.00010635296379580571,1,REGIME_EXIT,0.8963452093868342,RANGING
1439,1441,SHORT,2025-04-28 22:10:00,2025-04-28 22:20:00,94570.28216,94448.85490017103,0.08423575989569679,10.228517503745344,3.859649245708396,0.0012839896112769311,2,TAKE_PROFIT,0.8127945898479063,RANGING
1447,1448,SHORT,2025-04-28 22:50:00,2025-04-28 22:55:00,94707.35474000001,94794.55512,0.07999808462755963,-6.975863378794939,-13.039779307620723,-0.0009207350394210235,1,REGIME_EXIT,0.8754392979158264,RANGING
1515,1517,SHORT,2025-04-29 04:30:00,2025-04-29 04:40:00,94794.83724000001,94641.33788127493,0.07101574795190074,10.900871769998622,5.519691103844785,0.0016192797328872675,2,TAKE_PROFIT,0.8306409517675998,RANGING
1519,1520,LONG,2025-04-29 04:50:00,2025-04-29 04:55:00,94398.97602,94291.53792,0.0685755065250714,-7.367622127591232,-12.54344115555585,-0.001138127811653771,1,REGIME_EXIT,0.8470547026316025,RANGING
1591,1593,LONG,2025-04-29 10:50:00,2025-04-29 11:00:00,94766.64954,94832.5297,0.08848292371726892,5.829269171761525,-0.8812467136583617,0.0006951829606700752,2,TAKE_PROFIT,0.8408180614295803,RANGING
1703,1705,LONG,2025-04-29 20:10:00,2025-04-29 20:20:00,95183.93298,94936.80884,0.07036512832967218,-17.388921824459867,-22.740069982978575,-0.0025962799840591323,2,REGIME_EXIT,0.8354505125950904,RANGING
1771,1772,LONG,2025-04-30 01:50:00,2025-04-30 01:55:00,94262.74878,94406.035016,0.06723291090924416,9.633550739508928,4.559650126584161,0.0015200727525399873,1,TAKE_PROFIT,0.8294583156251044,RANGING
1777,1778,SHORT,2025-04-30 02:20:00,2025-04-30 02:25:00,94651.066,94500.1427383554,0.07168152787264269,10.818409986208238,5.394950929679246,0.0015945225766882513,1,TAKE_PROFIT,0.8741848950471682,RANGING
1783,1786,SHORT,2025-04-30 02:50:00,2025-04-30 03:05:00,94695.0572,94551.98828152484,0.07463565813935506,10.678042889678826,5.028211773501999,0.0015108382919394195,3,TAKE_PROFIT,0.8098863102042057,RANGING
1829,1840,LONG,2025-04-30 06:40:00,2025-04-30 07:35:00,94782.25266,94568.3729165782,0.09959797230522642,-21.30198876197332,-28.845564106834654,-0.0022565378793962874,11,STOP_LOSS,0.8460913236478215,RANGING
1841,1842,LONG,2025-04-30 07:40:00,2025-04-30 07:45:00,94604.81718,94470.30215999999,0.10699451415122715,-14.392369210943265,-22.4843694236907,-0.0014218622688532971,1,REGIME_EXIT,0.8964468117263485,RANGING
1858,1864,SHORT,2025-04-30 09:05:00,2025-04-30 09:35:00,94705.15518,94864.96919999999,0.10206200069880492,-16.310938620917874,-24.05010108769551,-0.0016874901867405471,6,REGIME_EXIT,0.8179166720680285,RANGING
1981,1982,LONG,2025-04-30 19:20:00,2025-04-30 19:25:00,93922.68078,93722.45176,0.06283530452137442,-12.581451445716299,-17.297747063758123,-0.0021318494993664604,1,REGIME_EXIT,0.8268663816553385,RANGING
1990,1991,SHORT,2025-04-30 20:05:00,2025-04-30 20:10:00,94229.55032,94556.31483433148,0.062524820612525,-20.430892641115115,-25.15241358229708,-0.0034677499067098127,1,STOP_LOSS,0.8239683800545204,RANGING
2019,2022,LONG,2025-04-30 22:30:00,2025-04-30 22:45:00,94343.56494,94041.16167419493,0.06767538938241359,-20.465258763871695,-25.564862654797764,-0.003205340671591024,3,STOP_LOSS,0.850340644191955,RANGING
2047,2050,SHORT,2025-05-01 00:50:00,2025-05-01 01:05:00,94307.43474000001,94549.4416626583,0.08575695226787967,-20.753776114903037,-27.232092168952484,-0.0025661489290370815,3,STOP_LOSS,0.8966284022229244,RANGING
2052,2053,SHORT,2025-05-01 01:15:00,2025-05-01 01:20:00,94466.6029,94595.4153,0.08712489939629262,-11.222767390994589,-17.811571117128608,-0.0013635760792240286,1,REGIME_EXIT,0.8390847395320002,RANGING
2099,2104,SHORT,2025-05-01 05:10:00,2025-05-01 05:35:00,94854.32534000001,94998.996,0.09114369151286904,-13.185818006002146,-20.10739102716477,-0.001525187802258094,5,REGIME_EXIT,0.8369220853128138,RANGING
2137,2138,SHORT,2025-05-01 08:20:00,2025-05-01 08:25:00,95074.68126,95126.32146,0.11100360758578874,-5.7322484964526375,-14.177447483794404,-0.000543154069155266,1,REGIME_EXIT,0.8734970660868311,RANGING
2144,2145,SHORT,2025-05-01 08:55:00,2025-05-01 09:00:00,95120.97200000001,95151.92657999998,0.1220589037545589,-3.7782821009798613,-13.068082666930728,-0.0003254232936136941,1,REGIME_EXIT,0.8005118466009634,RANGING
2270,2272,LONG,2025-05-01 19:25:00,2025-05-01 19:35:00,96404.07696,96602.36566200001,0.05533342026832618,10.971992082227183,6.7001094405881,0.002056849754209869,2,TAKE_PROFIT,0.8103610480190898,RANGING
2308,2314,LONG,2025-05-01 22:35:00,2025-05-01 23:05:00,96377.57166,96140.768,0.07125312230604829,-16.873000148500232,-22.360013269280763,-0.0024570411551289033,6,REGIME_EXIT,0.8048563012030042,RANGING
2326,2329,SHORT,2025-05-02 00:05:00,2025-05-02 00:20:00,96494.09732,96742.73909984034,0.08253443639013322,-20.521509162162197,-26.900986515651752,-0.002576756369001305,3,STOP_LOSS,0.803710857754537,RANGING
