time,equity,peak_equity,drawdown,position
2026-01-09 08:15:00,10000.0,10000.0,0.0,FLAT
2026-01-09 08:20:00,10000.0,10000.0,0.0,FLAT
2026-01-09 08:25:00,10000.0,10000.0,0.0,FLAT
2026-01-09 08:30:00,10000.0,10000.0,0.0,FLAT
2026-01-09 08:35:00,10000.0,10000.0,0.0,FLAT
2026-01-09 08:40:00,10000.0,10000.0,0.0,FLAT
2026-01-09 08:45:00,10000.0,10000.0,0.0,FLAT
2026-01-09 08:50:00,10000.0,10000.0,0.0,FLAT
2026-01-09 08:55:00,10000.0,10000.0,0.0,FLAT
2026-01-09 09:00:00,10000.0,10000.0,0.0,FLAT
2026-01-09 09:05:00,10000.0,10000.0,0.0,FLAT
2026-01-09 09:10:00,10000.0,10000.0,0.0,FLAT
2026-01-09 09:15:00,10000.0,10000.0,0.0,FLAT
2026-01-09 09:20:00,10000.0,10000.0,0.0,FLAT
2026-01-09 09:25:00,10000.0,10000.0,0.0,FLAT
2026-01-09 09:30:00,10000.0,10000.0,0.0,FLAT
2026-01-09 09:35:00,10000.0,10000.0,0.0,FLAT
2026-01-09 09:40:00,10000.0,10000.0,0.0,FLAT
2026-01-09 09:45:00,10000.0,10000.0,0.0,FLAT
2026-01-09 09:50:00,10000.0,10000.0,0.0,FLAT
2026-01-09 09:55:00,10000.0,10000.0,0.0,FLAT
2026-01-09 10:00:00,10000.0,10000.0,0.0,FLAT
2026-01-09 10:05:00,10000.0,10000.0,0.0,FLAT
2026-01-09 10:10:00,10000.0,10000.0,0.0,FLAT
2026-01-09 10:15:00,10000.0,10000.0,0.0,FLAT
2026-01-09 10:20:00,10000.0,10000.0,0.0,FLAT
2026-01-09 10:25:00,10000.0,10000.0,0.0,FLAT
2026-01-09 10:30:00,10000.0,10000.0,0.0,FLAT
2026-01-09 10:35:00,10000.0,10000.0,0.0,FLAT
2026-01-09 10:40:00,10000.0,10000.0,0.0,FLAT
2026-01-09 10:45:00,10000.0,10000.0,0.0,FLAT
2026-01-09 10:50:00,10000.0,10000.0,0.0,FLAT
2026-01-09 10:55:00,10000.0,10000.0,0.0,FLAT
2026-01-09 11:00:00,10000.0,10000.0,0.0,FLAT
2026-01-09 11:05:00,10000.0,10000.0,0.0,FLAT
2026-01-09 11:10:00,10000.0,10000.0,0.0,FLAT
2026-01-09 11:15:00,10000.0,10000.0,0.0,FLAT
2026-01-09 11:20:00,10000.0,10000.0,0.0,FLAT
2026-01-09 11:25:00,10000.0,10000.0,0.0,FLAT
2026-01-09 11:30:00,10000.0,10000.0,0.0,FLAT
2026-01-09 11:35:00,10000.0,10000.0,0.0,FLAT
2026-01-09 11:40:00,10000.0,10000.0,0.0,FLAT
2026-01-09 11:45:00,10000.0,10000.0,0.0,FLAT
2026-01-09 11:50:00,10000.0,10000.0,0.0,FLAT
2026-01-09 11:55:00,10000.0,10000.0,0.0,FLAT
2026-01-09 12:00:00,10000.0,10000.0,0.0,FLAT
2026-01-09 12:05:00,10000.0,10000.0,0.0,FLAT
2026-01-09 12:10:00,10000.0,10000.0,0.0,FLAT
2026-01-09 12:15:00,10000.0,10000.0,0.0,FLAT
2026-01-09 12:20:00,10000.0,10000.0,0.0,FLAT
2026-01-09 12:25:00,10000.0,10000.0,0.0,FLAT
2026-01-09 12:30:00,10000.0,10000.0,0.0,FLAT
2026-01-09 12:35:00,10000.0,10000.0,0.0,FLAT
2026-01-09 12:40:00,10000.0,10000.0,0.0,FLAT
2026-01-09 12:45:00,10000.0,10000.0,0.0,FLAT
2026-01-09 12:50:00,10000.0,10000.0,0.0,FLAT
2026-01-09 12:55:00,10000.0,10000.0,0.0,FLAT
2026-01-09 13:00:00,10000.0,10000.0,0.0,FLAT
2026-01-09 13:05:00,10000.0,10000.0,0.0,FLAT
2026-01-09 13:10:00,10000.0,10000.0,0.0,FLAT
2026-01-09 13:15:00,10000.0,10000.0,0.0,FLAT
