entry_index,exit_index,side,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,net_pnl,return_pct,bars_held,exit_reason,entry_confidence,market_regime
159,165,SHORT,2026-01-09 21:30:00,2026-01-09 22:00:00,90512.09396,90517.29983999999,0.016555165588312624,-0.08618420543278671,-1.2849728417171287,-5.751584978571705e-05,6,TIME_EXIT,0.9832645641493437,RANGING
167,168,SHORT,2026-01-09 22:10:00,2026-01-09 22:15:00,90511.79402,90422.09080199999,0.021368063004876484,1.9167840139643766,0.37030135372695216,0.0009910666225463206,1,TAKE_PROFIT,0.8272924462130946,RANGING
194,195,LONG,2026-01-10 00:25:00,2026-01-10 00:30:00,90555.6075,90593.74262700001,0.036057092637367866,1.375041806977363,-1.2376457525139275,0.00042112386027575295,1,TAKE_PROFIT,0.9011705386097822,RANGING
199,202,LONG,2026-01-10 00:50:00,2026-01-10 01:05:00,90558.00798,90588.57366099999,0.03985926459316809,1.2183255664490822,-1.6698222446615356,0.0003375259867326508,3,TAKE_PROFIT,0.8435616821292027,RANGING
207,213,SHORT,2026-01-10 01:30:00,2026-01-10 02:00:00,90609.77442,90711.43866,0.04275498970869129,-4.346653534941846,-7.447608174622975,-0.001122000806764598,6,TIME_EXIT,0.8202564779579805,RANGING
333,336,LONG,2026-01-10 12:00:00,2026-01-10 12:15:00,90711.03858,90717.32790500001,0.06527146809133391,0.41051347605481736,-4.3263248575005875,6.93336235421123e-05,3,TAKE_PROFIT,0.8392396744697019,RANGING
379,381,SHORT,2026-01-10 15:50:00,2026-01-10 16:00:00,90594.27752,90668.13,0.0732068562561235,-5.4065078875183366,-10.714368292300545,-0.0008152002755769797,2,REGIME_EXIT,0.8732617905214339,RANGING
422,428,SHORT,2026-01-10 19:25:00,2026-01-10 19:55:00,90545.58726,90609.51827999999,0.10590656848867258,-6.770714948179539,-14.444921184957426,-0.0007060644470327672,6,TIME_EXIT,0.8061120107130865,RANGING
478,480,LONG,2026-01-11 00:05:00,2026-01-11 00:15:00,90446.18562,90462.858809,0.05166040187229694,0.8613436442324366,-2.876989930781708,0.00018434374966396427,2,TAKE_PROFIT,0.8211474388190322,RANGING
506,511,SHORT,2026-01-11 02:25:00,2026-01-11 02:50:00,90616.57306,90686.1336,0.06725313610748582,-4.678164464330606,-9.555434707394827,-0.0007676359594171334,5,REGIME_EXIT,0.8200084244161671,RANGING
526,527,SHORT,2026-01-11 04:05:00,2026-01-11 04:10:00,90670.56226,90673.601094,0.07314129852979741,-0.22226426477589614,-5.527763300180402,-3.3515111456768484e-05,1,TAKE_PROFIT,0.8080543390351251,RANGING
613,615,LONG,2026-01-11 11:20:00,2026-01-11 11:30:00,90671.33064,90659.599453,0.08437509900893113,-0.9898200646170824,-7.10974613660846,-0.00012938143641648878,2,TAKE_PROFIT,0.8122046299986124,RANGING
