entry_index,exit_index,side,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,net_pnl,return_pct,bars_held,exit_reason,entry_confidence,market_regime
587,588,LONG,2025-10-16 13:50:00,2025-10-16 13:55:00,111078.41124,110772.54106,0.016192136582585916,-4.952691731100108,-6.389588099347449,-0.0027536420136503753,1,REGIME_EXIT,0.8086678112999903,RANGING
681,689,SHORT,2025-10-16 21:40:00,2025-10-16 22:20:00,108246.04646,108012.29814,0.013739328578379008,3.211544973124065,2.023047191413778,0.0021594166959841388,8,TIME_EXIT,0.7953313105698403,RANGING
714,717,SHORT,2025-10-17 00:25:00,2025-10-17 00:40:00,108276.04046,108774.41692866762,0.020927775132082382,-10.429910667397147,-12.246863933215414,-0.004602832413803756,3,STOP_LOSS,0.7876181422679787,RANGING
736,741,LONG,2025-10-17 02:15:00,2025-10-17 02:40:00,108463.48836,108683.35398100001,0.01995753722819262,4.387976316307278,2.6544898403052857,0.00202709339635335,5,TAKE_PROFIT,0.8638278943402515,RANGING
766,774,LONG,2025-10-17 04:45:00,2025-10-17 05:25:00,108870.66978,108748.64592,0.027804244166901335,-3.392781197627817,-5.81307743329053,-0.0011208148185969683,8,TIME_EXIT,0.8383324568045238,RANGING
864,871,LONG,2025-10-17 12:55:00,2025-10-17 13:30:00,105391.074,105727.17533499999,0.011664670462291287,3.9205113147111614,2.9354613918837127,0.003189087294052999,7,TAKE_PROFIT,0.7943209027156701,RANGING
876,878,SHORT,2025-10-17 13:55:00,2025-10-17 14:05:00,105849.3259,105490.70392199999,0.00959646894056272,3.4415046732802645,2.630257460446496,0.0033880421528504996,2,TAKE_PROFIT,0.8278967522043259,RANGING
893,894,SHORT,2025-10-17 15:20:00,2025-10-17 15:25:00,105824.53086,106070.2098,0.00903573760908778,-2.219890437918802,-2.9857405488585878,-0.0023215689028191168,1,REGIME_EXIT,0.7954107090077953,RANGING
919,925,LONG,2025-10-17 17:30:00,2025-10-17 18:00:00,106192.7343,106611.498435,0.011305659364889288,4.734404664542567,3.7720477978591544,0.003943434904095928,6,TAKE_PROFIT,0.7805926289222047,RANGING
927,935,SHORT,2025-10-17 18:10:00,2025-10-17 18:50:00,106658.06412,106582.51224,0.012788999699756384,0.9662329706360184,-0.12462049618154891,0.000708356003114742,8,TIME_EXIT,0.8158141913354013,RANGING
944,952,LONG,2025-10-17 19:35:00,2025-10-17 20:15:00,106312.2582,106620.01673100001,0.01612479395845731,4.962542901332723,3.589147277185539,0.002894854612353762,8,TAKE_PROFIT,1.0,RANGING
978,986,LONG,2025-10-17 22:25:00,2025-10-17 23:05:00,106955.58683999999,106758.44404,0.023590563566233128,-4.6507097550248755,-6.667363527213095,-0.001843221152111505,8,TIME_EXIT,0.9007234736919807,RANGING
987,990,LONG,2025-10-17 23:10:00,2025-10-17 23:25:00,106801.25597999999,106512.99314,0.027650735281863823,-7.970679480437747,-10.329997814144416,-0.0026990585209406377,3,REGIME_EXIT,0.7932440327256632,RANGING
1009,1010,SHORT,2025-10-18 01:00:00,2025-10-18 01:05:00,106761.6434,106913.47842,0.029774332199378535,-4.520786324979243,-7.065599948903786,-0.0014221869874288448,1,REGIME_EXIT,0.7839277237777924,RANGING
1029,1030,LONG,2025-10-18 02:40:00,2025-10-18 02:45:00,106726.54104,106616.57242,0.02527594141595977,-2.779560396713933,-4.936539611639301,-0.0010303774387177464,1,REGIME_EXIT,0.8769157427208327,RANGING
1043,1045,SHORT,2025-10-18 03:50:00,2025-10-18 04:00:00,106999.69578000001,106807.847298,0.02721274769708169,5.2207243367345475,2.8934080465287315,0.0017929815650548364,2,TAKE_PROFIT,0.7898047906715266,RANGING
1065,1073,SHORT,2025-10-18 05:40:00,2025-10-18 06:20:00,106637.86816,106810.95792,0.0331630267825829,-5.740180346670932,-8.571624001071699,-0.0016231547290527022,8,TIME_EXIT,0.7940995681425043,RANGING
1116,1124,SHORT,2025-10-18 09:55:00,2025-10-18 10:35:00,106860.02372,107051.50602,0.02963642132943483,-5.674850119929337,-8.210679008968764,-0.0017918983482703957,8,TIME_EXIT,1.0,RANGING
1142,1144,SHORT,2025-10-18 12:05:00,2025-10-18 12:15:00,107048.98591999999,107215.33877999999,0.03225147297907821,-5.36512476928235,-8.129260800659345,-0.001553988191203587,2,REGIME_EXIT,0.7831905509376017,RANGING
1162,1170,LONG,2025-10-18 13:45:00,2025-10-18 14:25:00,106846.46502,106832.02932,0.033358805236817224,-0.48155770475718296,-3.3327814151509476,-0.00013510694993324932,8,TIME_EXIT,0.7938568052079912,RANGING
1173,1176,SHORT,2025-10-18 14:40:00,2025-10-18 14:55:00,106996.29646,106893.249375,0.0301140377193542,3.1031638045594483,0.5267326641391565,0.0009630902041410558,3,TAKE_PROFIT,0.8337128366909978,RANGING
1178,1179,SHORT,2025-10-18 15:05:00,2025-10-18 15:10:00,107046.0865,107028.50142,0.030358265770670283,0.5338525322386316,-2.0657207616902014,0.00016427578601861713,1,REGIME_EXIT,0.9112512635824193,RANGING
1193,1194,LONG,2025-10-18 16:20:00,2025-10-18 16:25:00,106784.45262,106741.34746,0.03579393602962798,-1.5429033395865883,-4.60007487108205,-0.00040366513047910294,1,REGIME_EXIT,0.9390866782193107,RANGING
1232,1236,SHORT,2025-10-18 19:35:00,2025-10-18 19:55:00,106893.1171,107044.4046,0.0458043141818526,-6.929620181786626,-10.849324765480109,-0.0014153156358838305,4,REGIME_EXIT,0.8561239690043837,RANGING
1277,1284,LONG,2025-10-18 23:20:00,2025-10-18 23:55:00,107014.09853999999,107074.005915,0.043640539496278954,2.6143901648063212,-1.1227779864544472,0.0005598082478601401,7,TAKE_PROFIT,0.9161588962831778,RANGING
1292,1293,LONG,2025-10-19 00:35:00,2025-10-19 00:40:00,106976.49102,106700.43951965975,0.03885509356732941,-10.726006875122247,-14.046981726841537,-0.0025804875230824734,1,STOP_LOSS,0.8829070046328433,RANGING
1321,1324,LONG,2025-10-19 03:00:00,2025-10-19 03:15:00,106818.05933999999,106837.97813,0.05171736286441358,1.0301472902506024,-3.38974343695289,0.00018647399253537714,3,TAKE_PROFIT,0.7850004237357507,RANGING
1351,1357,LONG,2025-10-19 05:30:00,2025-10-19 06:00:00,106944.48462,106823.43104000001,0.042051055386057364,-5.090430797260211,-8.686097381732491,-0.0011319291539916769,6,REGIME_EXIT,0.8051304815083455,RANGING
1445,1447,LONG,2025-10-19 13:20:00,2025-10-19 13:30:00,107371.47,107533.22405299998,0.023495909904578654,3.8005586559880267,1.7808061241718955,0.0015064900666814226,2,TAKE_PROFIT,0.838511804807524,RANGING
