entry_index,exit_index,side,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,net_pnl,return_pct,bars_held,exit_reason,entry_confidence,market_regime
151,153,LONG,2025-10-15 01:30:00,2025-10-15 01:40:00,112449.18534,112443.00690000001,0.13768994394883874,-0.8507090572897167,-13.236866394912543,-5.494428422320457e-05,2,REGIME_EXIT,0.8201038743670106,RANGING
209,210,LONG,2025-10-15 06:20:00,2025-10-15 06:25:00,111989.3934,111865.02252,0.16983806528234238,-21.122909636662747,-36.33050999856738,-0.0011105594576780895,1,REGIME_EXIT,0.9063935276229671,RANGING
429,433,LONG,2025-10-16 00:40:00,2025-10-16 01:00:00,110431.18182,110576.67732265145,0.16225606754160626,23.607528105213756,9.263581657103416,0.0013175219195662032,4,TAKE_PROFIT,0.8362089835844502,RANGING
500,501,SHORT,2025-10-16 06:35:00,2025-10-16 06:40:00,111381.31928000001,111309.95753999999,0.1673384778945781,11.941564951512328,-2.964362769871249,0.0006406975645586203,1,REGIME_EXIT,0.8282001665069125,RANGING
715,717,SHORT,2025-10-17 00:30:00,2025-10-17 00:40:00,108429.90968000001,108745.06522725767,0.1697299987101074,-53.49135062952554,-68.23579391387612,-0.0029065370264325604,2,STOP_LOSS,0.8168256981303101,RANGING
768,777,LONG,2025-10-17 04:55:00,2025-10-17 05:40:00,108764.94863999999,108510.21773096058,0.21217715349571173,-54.04807918735749,-72.48840971771654,-0.0023420312538604987,9,STOP_LOSS,0.8553827362119029,RANGING
778,779,LONG,2025-10-17 05:45:00,2025-10-17 05:50:00,108519.89963999999,108269.18296495047,0.21426856777800574,-53.72070288092506,-72.30113737679326,-0.002310329035331234,1,STOP_LOSS,0.8329254098538124,RANGING
868,869,LONG,2025-10-17 13:15:00,2025-10-17 13:20:00,104871.07002,105148.07661090877,0.09753739793350805,27.01850208767333,18.82461365623544,0.0026414013975059433,1,TAKE_PROFIT,0.9112630139885363,RANGING
930,934,SHORT,2025-10-17 18:25:00,2025-10-17 18:45:00,106807.33426,106552.95969909756,0.10450470824971693,26.583339273260194,17.664477164352462,0.0023816207254384494,4,TAKE_PROFIT,0.8337065135153054,RANGING
944,947,LONG,2025-10-17 19:35:00,2025-10-17 19:50:00,106312.2582,106508.40118951446,0.1289178536166258,25.2863332101536,14.311780164645118,0.001844970587921049,3,TAKE_PROFIT,0.8843044189976683,RANGING
